Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean,distance_to_boundary_m,within_5km_boundary_proxy,within_10km_boundary_proxy,proximity_score,capacity_score,preliminary_exposure_score,screening_category
4880,Conergy,Laceby Solar Farm,Solar Photovoltaics,27.1,Operational,Operational,Humberside,Yorkshire and Humber,England,DN37 7EA,522997,404760,North East Lincolnshire,15/04/2016,22/06/2016,108000.0,operational,122607.98171446132,False,False,0,2,2,Medium
4881,RWE,Dolgarrog,Large Hydro,32.0,Operational,Operational,Conwy,Wales,Wales,LL32 8QE,276988,367594,Conwy,,01/01/1938,1008.0,operational,219036.6903580829,False,False,0,2,2,Medium
4882,RWE,Cwm Dyli,Large Hydro,9.9,Operational,Operational,Gwynedd,Wales,Wales,LL55 4NW,263775,351409,Gwynedd,,01/01/1906,,operational,201843.57945595882,False,False,0,2,2,Medium
4883,RWE,Kielder,Large Hydro,6.1,Operational,Operational,Northumberland,North East,England,NE48 1NQ,380626,589430,Northumberland,,01/06/1982,76600.0,operational,216867.87956531902,False,False,0,1,1,Low
4884,Lightsource Renewable Energy,Finvoy Road,Solar Photovoltaics,5.9,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT44 8SD,112523,572478,Causeway Coast and Glens,17/05/2017,15/12/2017,135200.0,operational,92653.94732127877,False,False,0,1,1,Low
4885,Island Green Power,Land East of White Horse Lane,Solar Photovoltaics,5.0,Operational,Operational,Norfolk,Eastern,England,,623981,305949,South Norfolk,16/12/2015,30/03/2016,50800.0,operational,48081.38415912889,False,False,0,1,1,Low
4887,Hive Energy/ Vogt Solar ,Westfield Farm,Solar Photovoltaics,5.0,Operational,Operational,Lancashire,North West,England,PR3 0PU,349769,442088,Wyre,01/11/2015,15/01/2016,238000.0,operational,281949.29341488203,False,False,0,1,1,Low
4889,Sunsave 24/ Vogt solar,West Woodlands ,Solar Photovoltaics,5.0,Operational,Operational,Somerset,South West,England,BA11 5EN,377846,144006,Somerset,25/11/2015,23/03/2016,510000.0,operational,86050.96523175611,False,False,0,1,1,Low
4891,REG Solarpower,Mendennick Farm ,Solar Photovoltaics,2.8,Operational,Operational,Cornwall,South West,England,PL11 3AU,240703,52965,Cornwall,15/04/2015,15/10/2015,1000000.0,operational,20846.58818675495,False,False,0,0,0,Low
4892,Farm Energy Consulting,Gawnsmoss Cluster,Wind Onshore,2.4,Operational,Operational,Aberdeenshire,Scotland,Scotland,AB45 3BS,363483,859316,Aberdeenshire,15/10/2016,27/03/2017,566000.0,operational,169199.73916415483,False,False,0,0,0,Low
4896,Renewable Developments Wales,Cockett Valley,Solar Photovoltaics,4.0,Operational,Operational,West Glamorgan,Wales,Wales,SA5 4RQ,260794,195054,Swansea,26/01/2017,29/03/2017,44600.0,operational,155494.23560297574,False,False,0,1,1,Low
4897,British Solar Renewables,Rampisham North,Solar Photovoltaics,5.0,Operational,Operational,Dorset,South West,England,DT2 0HS,355089,101344,Dorset,20/01/2017,01/03/2017,38100.0,operational,48115.30713061337,False,False,0,1,1,Low
4899,Bristol City Council,Severn Road Solar Park,Solar Photovoltaics,1.8,Operational,Operational,Avon,South West,England,BS11 0YL,353695,181718,"Bristol, City of",05/01/2016,05/02/2016,4900.0,operational,127456.36107049565,False,False,0,0,0,Low
4903,Solar Park Developments,Moorhouse Farm,Solar Photovoltaics,5.0,Operational,Operational,Cumbria,North West,England,CA14 4JZ,301291,525388,Cumberland,30/08/2016,30/11/2016,113400.0,operational,286267.0025847059,False,False,0,1,1,Low
4906,Olleco and Arla Foods,Arla Dairy Site,Anaerobic Digestion,5.0,Operational,Operational,Buckinghamshire,South East,England,HP22 5EZ,487065,214308,Buckinghamshire,15/10/2015,01/08/2017,23796.0,operational,135812.0855853653,False,False,0,1,1,Low
4908,AWE Renewables,Quarrendon Fields,Wind Onshore,1.5,Operational,Operational,Buckinghamshire,South East,England,HP18 0PT,480288,216618,Buckinghamshire,,18/12/2014,7050.0,operational,139290.31331305447,False,False,0,0,0,Low
4909,Dwr Cymru Welsh Water,Llyn Celyn ,Small Hydro,4.5,Operational,Operational,Gwynedd,Wales,Wales,LL23 7NU,287800,339800,Gwynedd,,01/01/1994,850000.0,operational,221691.95011153026,False,False,0,1,1,Low
4910,Dwr Cymru Welsh Water,Caban Coch,Small Hydro,1.1,Operational,Operational,Powys,Wales,Wales,LD6 5HL,294569,266506,Powys,,01/05/1997,4500.0,operational,207809.1177311232,False,False,0,0,0,Low
4916,Elgin Energy EsCo,Land at Sutor Farm,Solar Photovoltaics,5.0,Operational,Operational,Somerset,South West,England,BA9 9RA,372634,126331,Somerset,20/01/2016,31/03/2016,177400.0,operational,69584.39083787518,False,False,0,1,1,Low
4917,Redpath Energy,Newstead and Annesley Wind Turbine ,Wind Onshore,1.5,Operational,Operational,Nottinghamshire,East Midlands,England,NG15 0BT,452500,353400,Gedling,01/08/2016,01/12/2016,106000.0,operational,203313.5914338945,False,False,0,0,0,Low
4919,JFS Biogas,Gravel Pit Farm ,Anaerobic Digestion,1.0,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,YO41 1LN,468377,458725,North Yorkshire,15/07/2015,15/01/2016,300600.0,operational,162793.76051788978,False,False,0,0,0,Low
4924,Londonwaste,Edmonton EcoPark EfW,EfW Incineration,55.0,Operational,Operational,London,London,England,,535767,192649,The Planning Inspectorate - National Infrastructure,,01/01/1974,31000.0,operational,95701.36130274412,False,False,0,2,2,Medium
4925,SITA UK,Teesside EfW,EfW Incineration,19.2,Operational,Operational,County Durham,North East,England,TS23 1PY,448016,522664,Stockton-on-Tees,,01/01/1998,1440.0,operational,167330.66264377357,False,False,0,2,2,Medium
4926,SITA UK,Teesside EfW (extension),EfW Incineration,10.0,Operational,Operational,County Durham,North East,England,TS23 1PY,448016,522664,Stockton-on-Tees,,01/01/2009,4439.0,operational,167330.66264377357,False,False,0,2,2,Medium
4928,Veolia (SELCHP),SELCHP ERF,EfW Incineration,35.0,Operational,Operational,London,London,England,SE14 5RS,535817,177991,Lewisham,,01/12/1993,131500.0,operational,82391.82116576184,False,False,0,2,2,Medium
4929,Clean Earth Energy ,Land North East Of Penrose Far,Solar Photovoltaics,1.5,Operational,Operational,Cornwall,South West,England,TR8 5EE,189849,57162,Cornwall,,25/09/2015,618000.0,operational,34019.21231232499,False,False,0,0,0,Low
4931,BNRG (sold to another developer),Land At Ferry Farm,Solar Photovoltaics,10.0,Operational,Operational,West Sussex,South East,England,PO20 9ED,485830,96047,Chichester,01/11/2015,15/12/2015,3688.0,operational,19655.258823472413,False,False,0,2,2,Medium
4933,Anesco ,Land at Brookbarn Farm,Solar Photovoltaics,3.0,Operational,Operational,West Sussex,South East,England,BN17 7LD,502595,103242,Arun,15/08/2015,15/10/2015,1737000.0,operational,23754.56504817154,False,False,0,0,0,Low
4935,Lightsource Renewable Energy ,Field at School Aycliffe Lane,Solar Photovoltaics,5.0,Operational,Operational,County Durham,North East,England,DL5 6QE,426142,523694,Darlington,23/10/2015,16/12/2015,1400.0,operational,188328.97816042954,False,False,0,1,1,Low
4936,West Coast Energy,Capel Grange Solar Park,Solar Photovoltaics,6.6,Operational,Operational,Kent,South East,England,,565032,144747,Tunbridge Wells,01/11/2015,31/03/2016,227000.0,operational,39923.323764470355,False,False,0,1,1,Low
4938,Kinetica Solar,Pentre farm,Solar Photovoltaics,5.5,Operational,Operational,Carmarthenshire,Wales,Wales,SA14 6AP,253611,208800,Carmarthenshire,,25/09/2014,,operational,152417.71994040607,False,False,0,1,1,Low
4939,TGC Renewables,Land At Rymes Farm (Phase 1),Solar Photovoltaics,6.9,Operational,Operational,Gloucestershire,South West,England,GL18 1HF,374545,224494,Forest of Dean,05/01/2016,31/03/2016,,operational,165843.2920420359,False,False,0,1,1,Low
4940,Llancadle Solar Farm Ltd,Llancadle Farm,Solar Photovoltaics,5.0,Operational,Operational,Vale of Glamorgan,Wales,Wales,CF62 3AQ,303679,168416,Vale of Glamorgan,15/09/2015,15/12/2015,251000.0,operational,123259.83698534394,False,False,0,1,1,Low
4943,Solar Century (TGC Renewables),Land At Rymes Farm (Phase 2)/Grange Solar Farm,Solar Photovoltaics,6.8,Operational,Operational,Gloucestershire,South West,England,GL18 1HF,374394,224673,Forest of Dean,15/08/2015,15/11/2015,29300.0,operational,166046.2893232908,False,False,0,1,1,Low
