Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
5864,Bristol Energy Co-Op,Avonmouth,Solar Photovoltaics,4.20,Operational,Operational,Avon,South West,England,,353021,179008,"Bristol, City of",21/04/2016,28/06/2016,,operational
5866,Eco Energy World,Newport (Began Road),Solar Photovoltaics,4.90,Operational,Operational,Gwent,Wales,Wales,CF3 6XS,323807,184116,Newport,14/12/2015,14/02/2016,,operational
5880,TGC Renewables,Land to the south of Hill Farm ,Solar Photovoltaics,6.80,Operational,Operational,Northamptonshire,East Midlands,England,,469990,256921,West Northamptonshire,12/12/2016,31/03/2017,,operational
5887,Push Energy/ NextEnergy Solar Fund (NESF),Mill Farm ,Solar Photovoltaics,5.00,Operational,Operational,Hertfordshire,Eastern,England,SG11 1JR,534472,225009,East Hertfordshire,04/01/2017,15/12/2016,,operational
5891,British Solar Renewables,Southern Counties Shooting Ground Phase 2 ,Solar Photovoltaics,5.00,Operational,Operational,Dorset,South West,England,,360917,102647,Dorset,20/09/2016,02/02/2017,,operational
5899,RM Brown & Son Ltd,Inchdairnie,Anaerobic Digestion,2.00,Operational,Operational,Fife,Scotland,Scotland,KY5 0UL,324885,699061,Fife,01/01/2017,01/06/2018,,operational
5914,Innova / Lark Energy,Parkhill Solar Farm,Solar Photovoltaics,5.00,Operational,Operational,Angus,Scotland,Scotland,DD11 5RG,364125,745917,Angus,01/01/2017,01/11/2018,,operational
5917,Short Bros Homes,Dura Park Bynea Industrial Site,Solar Photovoltaics,1.40,Operational,Operational,Carmarthenshire,Wales,Wales,SA14 9TD,255583,198601,Carmarthenshire,01/09/2015,21/12/2015,,operational
5926,South West Solar Parks (Brook Hall Farm SPV),Brook Hall Farm ,Solar Photovoltaics,4.70,Operational,Operational,Wiltshire,South West,England,BA14 9PT,385169,153475,Wiltshire,05/01/2016,21/03/2016,,operational
5928,WEL Solar Park 11,Land off Moss Side Lane ,Solar Photovoltaics,5.00,Operational,Operational,Lancashire,North West,England,PR4 2WP,338818,431362,Fylde,31/01/2017,31/03/2017,,operational
5942,BE Renewables/Barvills Solar Limited ,Barvills Solar Farm ,Solar Photovoltaics,5.00,Operational,Operational,Essex,Eastern,England,RM18 8PA,568411,177573,Thurrock,29/01/2017,29/03/2017,,operational
5945,GPV Rhynie,Cairnmore Solar Park (extension),Solar Photovoltaics,1.20,Operational,Operational,Aberdeenshire,Scotland,Scotland,AB54 4NA,350467,824466,Aberdeenshire,01/07/2015,15/09/2015,,operational
5946,London Southend Airport Co.,London Southend Airport ,Solar Photovoltaics,2.50,Operational,Operational,Essex,Eastern,England,SS2 6YF,586759,189730,Rochford,15/11/2015,12/01/2016,,operational
5947,Gilkes Energy,Eas a Ghaill,Small Hydro,1.50,Operational,Operational,Argyll and Bute,Scotland,Scotland,,219607,727417,Argyll and Bute,01/11/2014,01/12/2015,,operational
5951,Earnside Energy,Binn Farm AD (extension),Anaerobic Digestion,1.50,Operational,Operational,Perth and Kinross,Scotland,Scotland,PH2 9PX,317439,713725,Perth and Kinross,15/02/2016,20/04/2018,,operational
5952,BNRG Northern Power,Laurelhill,Solar Photovoltaics,8.50,Operational,Operational,Co. Armagh,Northern Ireland,Northern Ireland,BT66 7PN,123488,509151,"Armagh City, Banbridge and Craigavon",15/06/2017,01/03/2018,,operational
5955,Greencoat Capital,Bann Road (Tullaghans Road),Solar Photovoltaics,25.00,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT44 9EA,116129,576128,Causeway Coast and Glens,12/12/2016,15/02/2017,,operational
5965,Gilkes Energy,River Pattack ,Small Hydro,2.00,Operational,Operational,Highland,Scotland,Scotland,PH20 1B,254876,783125,Highland,15/01/2016,07/12/2017,,operational
5977,Lightsource Renewable Energy,Gibson Farm,Solar Photovoltaics,6.40,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT36 4QU,141191,538562,Antrim and Newtownabbey,11/12/2017,28/02/2018,,operational
5985,Sainsburys Supermarkets Limited,Thameside DC,Solar Photovoltaics,1.00,Operational,Operational,London,London,England,SE7 7SW,540820,178999,Greenwich,,15/01/2016,,operational
5995,Belfast Harbour Commissioners,Airport Road West,Anaerobic Digestion,1.20,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT3 9ED,150113,532543,Belfast,30/12/2016,30/03/2017,,operational
6000,BioConstruct,Dean Group Business Park - Hartlepool,Anaerobic Digestion,5.10,Operational,Operational,Cleveland,North East,England,TS25 2BW,451345,528361,Hartlepool,01/07/2016,09/01/2017,,operational
6005,Boralex/Infinergy,Limekiln Wind Farm ,Wind Onshore,79.80,Operational,Operational,Highland,Scotland,Scotland,,298654,961356,Scottish Government (S36),,01/04/2025,,operational
6007,Elgin Energy EsCo,Ballygarvey Road,Solar Photovoltaics,13.00,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT43 7HB,127292,562641,Mid and East Antrim,15/01/2018,25/04/2018,,operational
6013,Cenin Renewables,"Parc Stormy, Stormy Down",Wind Onshore,2.50,Operational,Operational,Mid Glamorgan,Wales,Wales,CF33 4RS,284119,180079,Bridgend,01/11/2019,,,operational
6016,Volac,Felinfach,Biomass (dedicated),3.20,Operational,Operational,Ceredigion,Wales,Wales,SA48 8AF,251860,257661,Ceredigion,15/03/2015,15/03/2016,,operational
6019,TGC Renewables,Moss Thorn Farm,Solar Photovoltaics,5.80,Operational,Operational,Cumbria,North West,England,,348608,530601,Westmorland and Furness,14/11/2016,27/02/2017,,operational
6033,Clean Earth Energy,Bodtegir,Wind Onshore,1.50,Operational,Operational,Clwyd,Wales,Wales,LL21 9AB,299554,347741,Conwy,21/06/2017,01/11/2017,,operational
6035,Suncredit UK (Sunventures 7) ,Caergarw Farm,Solar Photovoltaics,3.80,Operational,Operational,Mid Glamorgan,Wales,Wales,CF33 6PT,282219,183728,Neath Port Talbot,20/12/2016,20/03/2017,,operational
